Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
308,49.445,53.258,120.801,29.757,116.638,34.134,59.017,79.500,84.312
309,49.585,53.254,122.335,29.606,116.730,32.891,57.131,75.451,84.312
310,48.480,52.644,125.791,29.914,116.732,32.905,57.323,75.049,85.736
311,48.429,52.333,125.824,30.104,116.576,32.692,57.148,76.142,85.075
312,48.613,49.653,125.808,29.670,117.914,32.617,56.188,75.987,85.013
313,46.123,48.529,125.532,29.690,118.118,32.056,56.826,75.989,85.732
314,46.086,48.560,125.531,34.899,118.081,32.209,58.137,76.452,84.784
315,45.718,50.799,125.337,35.009,117.774,32.099,59.290,76.483,84.826
316,43.829,50.850,125.327,35.018,117.814,30.994,55.521,76.711,85.138
317,43.847,50.838,123.051,34.022,118.781,30.273,54.393,77.159,85.730
318,43.970,50.461,124.812,33.694,119.023,30.311,54.142,77.182,86.498
319,43.429,50.596,124.390,33.530,119.035,31.001,54.205,76.415,86.493
320,43.249,50.466,123.131,33.487,119.149,30.947,53.240,76.486,86.458
321,43.314,50.853,123.089,33.589,119.754,31.642,53.238,76.583,86.296
322,44.224,48.200,123.078,33.858,119.784,31.791,53.362,76.122,85.723
323,42.907,48.426,124.076,33.816,119.778,31.652,53.855,74.370,85.627
324,42.896,48.495,124.313,34.016,118.667,31.558,53.736,73.514,85.252
325,42.936,48.562,123.650,33.439,118.658,31.012,54.012,72.701,85.115
326,42.896,48.660,123.933,33.113,109.644,31.091,54.439,72.191,85.113
327,42.900,48.466,123.949,33.193,109.555,31.393,55.403,70.750,85.263
328,44.033,48.156,124.093,33.051,107.382,31.145,55.815,72.698,85.209
329,43.139,47.599,125.676,33.758,107.322,31.146,55.162,74.047,85.490
330,43.639,47.981,125.816,33.755,107.332,31.125,54.345,73.613,85.429
331,42.798,47.787,125.574,33.705,107.042,31.084,54.267,73.826,85.291
332,42.803,47.485,127.182,33.248,105.507,31.312,52.700,74.160,85.265
333,42.803,48.761,127.332,32.736,105.542,31.312,53.112,74.231,84.977
334,43.322,47.035,127.294,32.626,104.530,31.368,52.988,73.879,84.923
335,43.134,47.719,126.524,33.170,91.755,31.216,50.450,74.108,84.870
336,42.205,44.783,126.521,32.994,91.123,31.045,49.695,75.550,83.427
337,42.770,44.913,125.521,32.145,90.250,31.354,49.910,75.450,84.070
338,39.730,44.575,124.422,32.173,90.375,30.795,51.050,75.424,84.064
339,38.975,44.474,126.890,32.020,90.362,30.848,51.444,75.343,84.824
340,39.271,44.506,127.234,31.993,90.362,31.118,51.283,75.102,84.649
341,38.881,45.292,127.080,31.749,91.402,31.740,50.630,74.466,84.953
342,39.885,44.044,127.443,30.579,91.548,31.651,50.630,74.573,82.534
343,38.823,44.146,127.449,30.745,91.793,31.706,50.599,74.682,73.326
344,38.855,43.596,127.384,31.305,91.937,31.192,50.565,74.564,73.231
345,38.839,46.250,127.853,31.293,93.039,31.237,49.252,74.572,74.814
346,38.844,44.161,127.955,30.904,94.229,31.343,50.181,71.876,74.814
347,37.827,43.512,127.404,31.095,94.950,31.408,50.198,70.664,74.636
348,37.722,43.368,127.493,31.662,94.851,31.711,48.935,70.661,75.707
349,37.810,43.409,128.313,31.777,95.943,31.812,48.930,70.690,75.727
350,38.406,43.636,130.178,31.758,96.040,31.342,48.854,71.166,75.794
351,39.315,43.481,130.167,31.460,96.309,30.574,47.937,70.852,75.427
352,37.357,45.110,131.617,31.248,96.959,30.679,47.811,70.934,75.537
