Iteration,RHC,SA,GA
937,3.386,3.172,2.285
938,3.389,3.171,2.130
939,3.388,3.114,2.083
940,3.424,3.140,2.001
941,3.349,3.117,2.041
942,3.324,3.116,2.244
943,3.355,3.110,2.202
944,3.324,3.211,2.157
945,3.323,3.094,2.462
946,3.376,3.102,2.135
947,3.326,3.094,2.343
948,3.317,3.097,2.006
949,3.318,3.094,2.109
950,3.318,3.094,2.120
951,3.317,3.088,2.199
952,3.319,3.131,1.979
953,3.309,3.098,2.074
954,3.335,3.087,2.101
955,3.311,3.253,2.136
956,3.264,3.033,2.035
957,3.312,3.037,2.275
958,3.264,3.039,2.085
959,3.264,3.014,2.186
960,3.327,3.009,2.311
961,3.290,3.031,2.166
962,3.264,3.017,2.178
963,3.270,3.009,2.234
964,3.264,3.007,2.228
965,3.264,3.059,2.161
966,3.264,3.038,2.295
967,3.229,3.092,2.201
968,3.229,3.010,2.103
969,3.230,3.007,2.144
970,3.229,3.016,2.116
971,3.232,3.012,2.406
972,3.244,2.967,2.307
973,3.291,2.983,2.283
974,3.229,2.965,2.101
975,3.230,2.966,2.059
976,3.228,2.988,2.158
977,3.231,2.909,2.084
978,3.224,2.966,2.016
979,3.224,2.912,2.140
980,3.226,2.909,2.117
981,3.224,2.914,2.274
982,3.224,2.922,2.117
983,3.224,2.933,2.187
984,3.225,2.909,2.322
985,3.174,3.151,2.230
986,3.174,2.901,2.055
987,3.174,3.001,2.561
988,3.174,2.902,2.100
989,3.175,2.901,2.028
990,3.178,2.900,2.261
991,3.197,2.900,2.077
992,3.203,2.960,2.193
