gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,511,0.1,0.25486956717492326,-31,31,3.27776699E8
large,516,0.1,0.09564376169137923,-20,20,3.28324144E8
large,521,0.1,0.20492757525361682,-21,21,3.28856229E8
large,526,0.1,0.16817820478605938,-28,28,3.29524191E8
large,531,0.1,0.25408427118351296,-33,33,3.37228596E8
large,536,0.1,0.07766302569795513,-15,15,3.37896558E8
large,541,0.1,0.23142424830770159,-30,30,3.38462514E8
large,546,0.1,0.15460033174384868,-24,24,3.38994599E8
large,551,0.1,0.22147803676262745,-28,28,3.39716124E8
large,556,0.1,0.20315946341525315,-27,27,3.40260418E8
large,561,0.1,0.24610417534756834,-32,32,3.4080038E8
large,566,0.1,0.21173363529200273,-23,23,3.41322225E8
large,571,0.1,0.20555912652062247,-22,22,3.4194332E8
large,576,0.1,0.17641698395122418,-22,22,3.42443897E8
large,581,0.1,0.20590730321736395,-24,24,3.42996856E8
large,586,0.1,0.22315324504895617,-29,29,3.4356872E8
large,591,0.1,0.20789674121386614,-19,19,3.44042516E8
large,596,0.1,0.24725099844843124,-25,25,3.44666761E8
large,1,0.1,0.1276812909,-290,290,1225253.0
large,6,0.1,0.14424335381986653,-1892,1892,2.2733153E7
large,11,0.1,0.14235789577580688,-580,580,7.064209E7
large,16,0.1,0.14828052775652467,-76,76,8.1598083E7
large,21,0.1,0.1720807429819522,-1116,1116,8.9134709E7
large,26,0.1,0.16013644009284755,-5722,5722,1.08349642E8
large,31,0.1,0.17268165282151604,-94,94,1.13212845E8
large,36,0.1,0.1633961166838782,-182,182,1.16210009E8
large,41,0.1,0.16139425048971923,-217,217,1.23330735E8
large,46,0.1,0.17193228561515506,-192,192,1.32381304E8
large,51,0.1,0.15698147963467735,-262,262,1.34117768E8
large,56,0.1,0.1611425742404584,-466,466,1.36648225E8
large,61,0.1,0.18174743510131597,-61,61,1.41869828E8
large,66,0.1,0.18675975061922823,-409,409,1.5737513E8
large,71,0.1,0.16753046651555348,-110,110,1.59188788E8
large,76,0.1,0.1727797609932189,-60,60,1.6483732E8
large,81,0.1,0.17678485980530745,-30,30,1.6861863E8
large,86,0.1,0.17121335360351786,-247,247,1.73976898E8
large,91,0.1,0.17864736563586137,-149,149,1.75736599E8
large,96,0.1,0.197839237918648,-109,109,1.77992152E8
large,101,0.1,0.18675611903724842,-131,131,1.82687971E8
large,106,0.1,0.16145871955256297,-46,46,1.86609884E8
large,111,0.1,0.1979445043702981,-50,50,1.9201502E8
large,116,0.1,0.21314513950348513,-134,134,2.22750325E8
large,121,0.1,0.24596558680865743,-65,65,2.28359866E8
large,126,0.1,0.2197018442061478,-52,52,2.30851332E8
large,131,0.1,0.16145042012855537,-40,40,2.32048622E8
large,136,0.1,0.2340622599764972,-32,32,2.3301315E8
large,141,0.1,0.15299461653186341,-77,77,2.36856294E8
large,146,0.1,0.16081600805613228,-301,301,2.40634847E8
large,151,0.1,0.2298128543666964,-48,48,2.4692771E8
large,156,0.1,0.1707409988389923,-390,390,2.48695682E8
large,161,0.1,0.14111534632687217,-29,29,2.54072066E8
large,166,0.1,0.09719542485200883,-27,27,2.56557231E8
large,171,0.1,0.1555539459217865,-1157,1157,2.70980246E8
large,176,0.1,0.18194157936674316,-652,652,2.75817456E8
